site_id,stream_name,utm_zone,easting,northing,target,lab_ids,source,control_blank_field,control_blank_office,control_species_present_field,n_runs,n_sheets,retested,max_pos,max_conc,any_clean,any_crude
125261_us_ed1a,Fern Creek,10,534601,6067772,BULT,M41359,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_us_ed1a,Fern Creek,10,534601,6067772,GRAY,M41359,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_us_ed1a,Fern Creek,10,534601,6067772,RAIN,M41359,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,533,34.6552543640137,TRUE,TRUE
125261_us_ed1a,Fern Creek,10,534601,6067772,SOCK,M41359,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_us_ed1b,Fern Creek,10,534601,6067772,BULT,M41360,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_us_ed1b,Fern Creek,10,534601,6067772,GRAY,M41360,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
125261_us_ed1b,Fern Creek,10,534601,6067772,RAIN,M41360,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,567,35.4232978820801,TRUE,TRUE
125261_us_ed1b,Fern Creek,10,534601,6067772,SOCK,M41360,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
126158_ds_ed1,Tributary To Stony Lake,10,577435,5918517,BULT,F61121,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
126158_ds_ed1,Tributary To Stony Lake,10,577435,5918517,CHIN,F61121,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
126158_ds_ed1,Tributary To Stony Lake,10,577435,5918517,COHO,F61121,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
126158_ds_ed1,Tributary To Stony Lake,10,577435,5918517,RAIN,F61121,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,77,4.778748989,TRUE,TRUE
126158_us_ed1,Tributary To Stony Lake,10,577641,5918592,BULT,F61122,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,TRUE,2,1,FALSE,0,0,FALSE,FALSE
126158_us_ed1,Tributary To Stony Lake,10,577641,5918592,CHIN,F61122,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,TRUE,2,1,FALSE,0,0,FALSE,FALSE
126158_us_ed1,Tributary To Stony Lake,10,577641,5918592,COHO,F61122,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,TRUE,2,1,FALSE,0,0,FALSE,FALSE
126158_us_ed1,Tributary To Stony Lake,10,577641,5918592,RAIN,F61122,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,TRUE,2,1,FALSE,21,1.378945947,TRUE,TRUE
126349_ds_ed1,Tributary To Cameron Lake,10,574558,5906687,BULT,F21236,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
126349_ds_ed1,Tributary To Cameron Lake,10,574558,5906687,RAIN,F21236,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,39,2.66734719276428,TRUE,TRUE
196076_ds_ed1a,Tributary To Fraser River,10,526477,5985766,BULT,F61123,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,4,2,TRUE,2,0.122173592,FALSE,TRUE
196076_ds_ed1a,Tributary To Fraser River,10,526477,5985766,CHIN,F61123,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,4,2,TRUE,2,0.141055166721344,FALSE,TRUE
196076_ds_ed1a,Tributary To Fraser River,10,526477,5985766,COHO,F61123,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed1a,Tributary To Fraser River,10,526477,5985766,RAIN,F61123,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,54,3.499474525,TRUE,TRUE
196076_ds_ed1b,Tributary To Fraser River,10,526477,5985766,BULT,F61124,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed1b,Tributary To Fraser River,10,526477,5985766,CHIN,F61124,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,4,2,TRUE,3,0.185363397,FALSE,TRUE
196076_ds_ed1b,Tributary To Fraser River,10,526477,5985766,COHO,F61124,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed1b,Tributary To Fraser River,10,526477,5985766,RAIN,F61124,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,51,3.258657932,TRUE,TRUE
196076_ds_ed2a,Tributary To Fraser River,10,527308,5985131,BULT,F41016,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed2a,Tributary To Fraser River,10,527308,5985131,BURB,F41016,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,1,0.0592605769634247,FALSE,TRUE
196076_ds_ed2a,Tributary To Fraser River,10,527308,5985131,CHIN,F41016,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed2a,Tributary To Fraser River,10,527308,5985131,RAIN,F41016,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,23,1.41384255886078,TRUE,TRUE
196076_ds_ed2b,Tributary To Fraser River,10,527308,5985131,BULT,F41017,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed2b,Tributary To Fraser River,10,527308,5985131,BURB,F41017,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed2b,Tributary To Fraser River,10,527308,5985131,CHIN,F41017,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed2b,Tributary To Fraser River,10,527308,5985131,RAIN,F41017,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,5,0.323909193277359,TRUE,TRUE
196076_ds_ed3,NA,10,511387,5978753,BULT,F41018,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed3,NA,10,511387,5978753,BURB,F41018,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed3,NA,10,511387,5978753,CHIN,F41018,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_ds_ed3,NA,10,511387,5978753,RAIN,F41018,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,TRUE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_us_ed1,Tributary To Fraser River,10,527402,5984976,BULT,F61125,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_us_ed1,Tributary To Fraser River,10,527402,5984976,CHIN,F61125,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_us_ed1,Tributary To Fraser River,10,527402,5984976,COHO,F61125,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196076_us_ed1,Tributary To Fraser River,10,527402,5984976,RAIN,F61125,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,44,2.92406559,TRUE,TRUE
196085_ds_ed1,Tabor Creek,10,518192,5961997,BULT,F40915,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,1,0.0637118220329285,FALSE,TRUE
196085_ds_ed1,Tabor Creek,10,518192,5961997,BURB,F40915,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,8,0.529256284236908,TRUE,TRUE
196085_ds_ed1,Tabor Creek,10,518192,5961997,CHIN,F40915,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,181,12.6237201690674,TRUE,TRUE
196085_ds_ed1,Tabor Creek,10,518192,5961997,SOCK,F40915,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196085_us_ed1a,Tabor Creek,10,518519,5961999,BULT,F41019,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196085_us_ed1a,Tabor Creek,10,518519,5961999,BURB,F41019,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196085_us_ed1a,Tabor Creek,10,518519,5961999,CHIN,F41019,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,8,0.514754116535187,TRUE,TRUE
196085_us_ed1a,Tabor Creek,10,518519,5961999,RAIN,F41019,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,6,0.408614963293076,TRUE,TRUE
196085_us_ed1b,Tabor Creek,10,518519,5961999,BULT,F41020,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196085_us_ed1b,Tabor Creek,10,518519,5961999,BURB,F41020,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196085_us_ed1b,Tabor Creek,10,518519,5961999,CHIN,F41020,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,144,8.97550106048584,TRUE,TRUE
196085_us_ed1b,Tabor Creek,10,518519,5961999,RAIN,F41020,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,128,8.00068092346191,TRUE,TRUE
196209_us_ed1,Bittner Creek,10,521555,5976209,BULT,F60808,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196209_us_ed1,Bittner Creek,10,521555,5976209,CHIN,F60808,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196209_us_ed1,Bittner Creek,10,521555,5976209,COHO,F60808,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196209_us_ed1,Bittner Creek,10,521555,5976209,SOCK,F60808,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
196332_ds_ed1,S. Yuzkli Creek,10,578166,5895305,BULT,F21237,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196332_ds_ed1,S. Yuzkli Creek,10,578166,5895305,RAIN2,F21237,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
196332_us_ed1,S. Yuzkli Creek,10,578268,5895115,BULT,F21238,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,6,2,TRUE,2,0.12301030755043,FALSE,TRUE
196332_us_ed1,S. Yuzkli Creek,10,578268,5895115,RAIN,F21238,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,4,1,TRUE,0,0,FALSE,FALSE
196332_us_ed1,S. Yuzkli Creek,10,578268,5895115,RAIN2,F21238,~/Projects/gis/sern_fraser_2024/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,NA,2,1,FALSE,0,0,FALSE,FALSE
